confidence_quantile,coverage,n_predictions,accuracy,subset_majority,edge,min_confidence
0.0,1.0,390,0.5077,0.5615,-0.0538,0.0004
0.1,0.9,351,0.51,0.5613,-0.0513,0.0287
0.2,0.8,312,0.5224,0.5545,-0.0321,0.0534
0.3,0.7,273,0.5531,0.5861,-0.033,0.0781
0.4,0.6,234,0.5641,0.5812,-0.0171,0.1004
0.5,0.5,195,0.5487,0.5692,-0.0205,0.1267
0.6,0.4,156,0.5641,0.5641,0.0,0.1523
0.7,0.3,117,0.5641,0.5641,0.0,0.1749
0.8,0.2,78,0.6154,0.5513,0.0641,0.211
0.9,0.1,39,0.7179,0.6154,0.1026,0.27
