confidence_quantile,coverage,n_predictions,accuracy,subset_majority,edge,min_confidence
0.0,1.0,390,0.5462,0.5026,0.0436,0.0006
0.1,0.9,351,0.5413,0.5128,0.0285,0.0409
0.2,0.8,312,0.5481,0.5128,0.0353,0.0882
0.3,0.7,273,0.5385,0.5238,0.0147,0.1341
0.4,0.6,234,0.5556,0.5299,0.0256,0.1708
0.5,0.5,195,0.5436,0.5333,0.0103,0.2175
0.6,0.4,156,0.5513,0.5513,0.0,0.2595
0.7,0.3,117,0.5299,0.5983,-0.0684,0.3169
0.8,0.2,78,0.5256,0.641,-0.1154,0.372
0.9,0.1,39,0.5641,0.6667,-0.1026,0.4184
