confidence_quantile,coverage,n_predictions,accuracy,subset_majority,edge,min_confidence
0.0,1.0,499,0.487,0.507,-0.02,0.0
0.1,0.8998,449,0.4855,0.5078,-0.0223,0.0169
0.2,0.7996,399,0.4737,0.5113,-0.0376,0.0359
0.3,0.6994,349,0.4642,0.5158,-0.0516,0.0525
0.4,0.5992,299,0.4682,0.5017,-0.0334,0.0703
0.5,0.501,250,0.468,0.508,-0.04,0.0885
0.6,0.4008,200,0.47,0.51,-0.04,0.1116
0.7,0.3006,150,0.52,0.5067,0.0133,0.1428
0.8,0.2004,100,0.55,0.54,0.01,0.178
0.9,0.1002,50,0.54,0.52,0.02,0.2243
