model,rmse_mean,rmse_std,directional_mean,persistence_rmse,zero_rmse,beats_persistence,beats_zero,shrinkage
LSTM,0.013117,4e-06,0.4933,0.018418,0.013069,True,False,0.0962
GRU,0.013248,0.00012,0.5124,0.018418,0.013069,True,False,0.1196
