stock,n_big_moves,full_coverage_accuracy,full_coverage_edge,best_coverage,best_accuracy,best_edge,brier
RELIANCE,104,0.4231,-0.1538,0.2019,0.4762,-0.0952,0.2596
TCS,653,0.5268,-0.0031,0.1011,0.5606,0.0455,0.2496
