stock,n_rows,n_features,accuracy_mean,accuracy_std,f1_mean,roc_auc_mean,best_baseline,edge,perm_shuffled_mean,perm_leak_free,perm_verdict
RELIANCE,443,20,0.5233,0.0762,0.4985,0.5215,0.5443,-0.0209,0.4723,True,NO SIGNAL
TCS,565,22,0.5931,0.0466,0.5731,0.6135,0.5045,0.0886,0.4971,True,SIGNAL
