Date,Close,High,Low,Open,Volume,SMA_20,SMA_50,EMA_20,RSI,MACD,MACD_signal,Daily_Return,Target,vader_sentiment,finbert_sentiment
2014-03-12,837.41845703125,841.3760845015928,827.255490321694,827.255490321694,1669788,842.0830963134765,850.4995031738281,844.111407819776,47.41396269633363,-0.4131511438689585,1.050955468450038,0.0129201682921187,0,-0.886,-1.0
2014-03-13,825.9298095703125,846.0828542537688,821.0500589180039,825.3534588521559,2019884,842.9303344726562,850.5001159667969,842.3798270341129,44.74934302347512,-1.8081228563687544,0.4791398034862795,-0.0137191237719623,0,-0.9231,0.0
2014-03-14,822.0878295898438,830.1375126988382,816.2282614025459,822.6449500986866,2161246,843.0417633056641,850.3188049316407,840.4472558489443,41.12453377096698,-3.1869267565542714,-0.2540735085218306,-0.0046517027669307,0,0.6343,-1.0
2014-03-18,815.3441772460938,826.7943640008821,808.5240268473575,820.531333887386,2565842,842.1599365234375,849.5791711425782,838.0564864581967,42.28764916663927,-4.768823141596499,-1.1570234351367643,-0.0082030801345331,0,-0.1027,0.0
2014-03-19,783.6065063476562,797.2852217350277,773.481953996935,797.2852217350277,8652662,839.7392547607421,848.0713049316406,832.8707740667166,32.776509144226864,-8.485635103067807,-2.622745768722973,-0.0389254891175339,1,-0.8808,-1.0
2014-03-20,810.0419921875,815.6902124740557,772.8481740817193,783.0687877402075,5728956,838.6288208007812,847.3487536621094,830.6966043639341,42.54616148972057,-9.192151187046989,-3.936626852387776,0.0337356640427324,1,-0.3612,0.0
2014-03-21,817.2655029296875,824.1817131096284,801.1276791764919,816.4970351319163,4680776,837.2657440185546,846.5673828125,829.4174518463868,32.34434467953366,-9.064701094639076,-4.962241700838037,0.008917452196127,1,0.5719,0.0
2014-03-24,827.1018676757812,829.1574625999768,816.9388067490547,821.0885513144563,2183014,836.559716796875,845.9114050292969,829.1969200206149,39.36533999918866,-8.076878323467326,-5.585169025363895,0.0120357028540087,0,-0.6808,-1.0
2014-03-25,824.8155517578125,834.5559173212075,818.4180957155488,823.7973695841017,2249968,835.4252655029297,844.9109106445312,828.779646852729,38.7154880716646,-7.393283082262201,-5.946791836743556,-0.0027642494925002,0,-0.7713,-1.0
2014-03-26,804.393798828125,829.3690063389099,802.1076255174079,825.353780200523,3192350,833.803823852539,842.8280859375,826.4571851361001,32.72255236837172,-8.402534530612002,-6.437940375517246,-0.0247591754134187,1,0.024,-1.0
2014-03-27,804.6818237304688,812.6546769439854,793.4622129094946,807.2561720307622,5012476,831.9854370117188,841.0731970214844,824.3833411927066,33.64955444203491,-9.07452687507964,-6.965257675429725,0.000358064548438,1,-0.7958,-1.0
2014-03-28,807.6983032226562,815.6711584689675,799.2259250308135,805.7386723621582,2971162,830.4475524902343,839.1726831054688,822.7942899574637,35.75302344884979,-9.256972349287707,-7.423600610201322,0.0037486611518118,1,-0.5994,0.0
2014-03-31,819.62841796875,824.162396261754,799.9748936237422,808.4280385131382,2683268,827.7079681396484,837.5360803222657,822.4927783394909,48.77827359186665,-8.342731332534072,-7.607426754667871,0.014770508615028,1,0.5267,-1.0
2014-04-01,836.36181640625,839.5509761755668,824.1431610121617,824.1816219206365,2755932,826.4909210205078,837.2869909667969,823.8136391077537,52.95851604984873,-6.196513779293468,-7.325244159592991,0.0204158348718186,0,-0.946,-1.0
2014-04-02,834.6519775390625,846.0829345337855,830.3485771965852,841.4721283510402,3763016,825.1768402099609,836.0436804199219,824.8458618154973,49.09999960287677,-4.580786161125161,-6.776352559899426,-0.0020443770072317,0,-0.9022,-1.0
2014-04-03,832.4427490234375,838.3983745068731,825.1807657955096,834.8826718249774,1581194,823.5361633300781,835.2003344726562,825.5693748829202,52.25495715268656,-3.438934761685573,-6.108869000256656,-0.0026468858579102,0,-0.9349,1.0
2014-04-04,821.818603515625,840.3194257784454,818.418096437169,834.5559180570568,1694656,821.5784942626954,834.1924536132813,825.2121585622255,49.91096784871599,-3.352641885121784,-5.557623577229681,-0.0127626140299449,1,-0.8481,-1.0
