Date,Open,High,Low,Close,Volume,SMA_20,SMA_50,EMA_20,RSI,MACD,MACD_signal,Daily_Return,Tenkan_sen,Kijun_sen,Senkou_Span_A,Senkou_Span_B,Chikou_Span,tk_cross,price_above_cloud,price_below_cloud,cloud_bullish,cloud_thickness,chikou_vs_price,bb_upper,bb_middle,bb_lower,bb_pct_b,bb_bandwidth,bb_price_vs_middle,bb_above_upper,bb_below_lower,bb_squeeze,bb_pct_b_delta,Target
2022-03-15,1099.6620420875429,1099.6620420875429,1060.2128731362302,1070.4488525390625,15925769,1070.386572265625,1086.1048559570313,1069.6793716594548,48.11536889450137,-2.560375979651326,-6.4347561762508425,-0.02290335674850108,1043.511522106305,1049.9543242781315,1046.732923192218,1075.0685889349747,1055.887451171875,0,0,0,0,28.335665742756646,-14.5614013671875,1126.0211936993317,1070.386572265625,1014.7519508319185,0.5005597258670271,10.395239042647555,0.06228027343740905,0,0,0,-0.22968411990055515,1
2022-03-16,1078.850581492875,1090.581191192119,1076.6312801930274,1088.5203857421875,11149828,1070.0559509277343,1086.10033203125,1071.4737539530483,52.08452056717245,-0.8071395536351247,-5.3092328517277,0.016882201480491243,1043.511522106305,1049.9543242781315,1046.732923192218,1075.0685889349747,1049.4561767578125,0,1,0,0,28.335665742756646,-39.064208984375,1125.1746012857452,1070.0559509277343,1014.9373005697236,0.6674971601673981,10.302012770495445,18.46443481445317,0,0,0,0.166937434300371,1
2022-03-17,1101.8362205198275,1131.1173411560007,1093.8421832317183,1124.006591796875,21422098,1071.6128662109375,1086.3141162109375,1076.476881366746,67.04386277001274,3.4064853606105316,-3.5660892092600536,0.03260040557760613,1059.2391716405339,1059.2391716405339,1059.2391716405339,1075.0685889349747,1067.09716796875,0,1,0,0,15.829417294440873,-56.909423828125,1130.827927462521,1071.6128662109375,1012.3978049593538,0.9424020213652684,11.05157713549282,52.393725585937545,0,0,0,0.2749048611978703,0
2022-03-21,1106.9315283978274,1125.0482148088292,1104.6669425964524,1117.52978515625,11999466,1072.1541076660155,1086.294189453125,1080.3866817276512,64.13438480406612,6.152269759578303,-1.6224174154923823,-0.0057622496948802615,1059.2391716405339,1059.2391716405339,1059.2391716405339,1075.0685889349747,1079.5299072265625,0,1,0,0,15.829417294440873,-37.9998779296875,1132.8223320091074,1072.1541076660155,1011.4858833229237,0.8739657619911969,11.31707166149113,45.375677490234466,0,0,0,-0.0684362593740715,1
2022-03-22,1114.2233926126817,1148.1243719419283,1111.2795389519592,1146.4033203125,22557065,1074.5715576171874,1087.332734375,1086.673980640494,63.46730483840674,10.53671595630999,0.8094092588680921,0.02583692671082849,1080.0054742024927,1067.7426870334975,1073.874080617995,1075.0685889349747,1078.4202880859375,1,1,0,0,1.1945083169796362,-67.9830322265625,1142.5839248047712,1074.5715576171874,1006.5591904296035,1.0280786838163902,12.658508724797834,71.83176269531259,1,0,0,0.15411292182519332,1
2022-03-23,1142.7120228084564,1161.666592238369,1142.7120228084564,1150.0491943359375,15462187,1077.7261291503905,1088.2675561523438,1092.7097152781553,61.601929034269006,14.14258579372381,3.4760445658392363,0.0031802716887139315,1110.9397326872995,1074.513797181718,1092.7267649345088,1075.0685889349747,1076.3140869140625,1,1,0,1,17.658175999534024,-73.735107421875,1153.1884900534928,1077.7261291503905,1002.2637682472883,0.979199592485674,14.003995794848528,72.32306518554697,0,0,0,-0.04887909133071622,1
2022-03-24,1136.824010448648,1170.4078760728964,1136.824010448648,1167.916748046875,13168266,1082.0209228515625,1089.5416137695313,1099.872289827557,66.01901786841788,18.23186034078958,6.427207720829305,0.01553633861832715,1115.3103746045633,1078.8844390989816,1097.0974068517726,1078.8844390989816,1059.1712646484375,1,1,0,1,18.212967752790973,-108.7454833984375,1167.132423143878,1082.0209228515625,996.909422559247,1.0046076317554222,15.7319509253134,85.89582519531245,1,0,0,0.025408039269748217,1
2022-03-25,1169.660588741769,1184.833300668766,1167.169460657995,1175.70703125,14222488,1087.0437805175782,1090.8125048828124,1107.094646153504,72.91452558310209,21.84938452531219,9.511643081725882,0.006670238453342581,1122.523086902498,1086.0971513969166,1104.3101191497074,1086.0971513969166,1095.1328125,1,1,0,1,18.212967752790746,-80.57421875,1181.326859895474,1087.0437805175782,992.7607011396824,0.9701970455220861,17.346694046306844,88.66325073242183,0,0,0,-0.03441058623333615,1
2022-03-28,1182.115739135411,1191.0608703717303,1171.472198621402,1187.5281982421875,9891424,1095.3367126464843,1091.7260400390626,1114.7549844476644,86.08223826758869,25.377630361277397,12.684840537636186,0.010054517560909249,1125.6368717539804,1089.2109362483986,1107.4239040011894,1089.2109362483986,1092.8682861328125,1,1,0,1,18.212967752790746,-94.659912109375,1194.2249017787117,1095.3367126464843,996.4485235142569,0.9661400234179142,18.05621741524575,92.19148559570317,0,0,0,-0.0040570221041719146,1
2022-03-29,1194.7974641560254,1194.7974641560254,1180.9382429362058,1187.7999267578125,8684065,1103.0046142578126,1092.5163842773438,1121.7116456200595,86.76038888234721,27.874398115929125,15.722752053294775,0.00022881857965750818,1135.7143721745265,1091.0792331405462,1113.3968026575362,1091.0792331405462,1106.7049560546875,1,1,0,1,22.317569516990034,-81.094970703125,1205.5323690731266,1103.0046142578126,1000.4768594424986,0.9135236973283185,18.59063026391828,84.79531249999991,0,0,0,-0.052616326089595655,1
