Date,Close,High,Low,Open,Volume,SMA_20,SMA_50,EMA_20,RSI,MACD,MACD_signal,Daily_Return,Target
2022-03-15,1075.398193359375,1104.7464533796308,1065.1148867530296,1104.7464533796308,15925769,1075.3355651855468,1091.1265649414063,1074.6251093118524,48.115392926771925,-2.572221763470907,-6.464520387051436,-0.022903315180006767,1
2022-03-16,1093.5531005859375,1095.6234340578644,1081.609026403429,1083.8385885222203,11149828,1075.0034057617188,1091.1220141601561,1076.4277751474795,52.08451112837378,-0.8108891452650369,-5.333794138694156,0.016882032477522957,1
2022-03-17,1129.203369140625,1136.3469946247096,1098.8994972340938,1106.9304944761457,21422098,1076.5675109863282,1091.3367822265625,1081.4540221944458,67.04386089528535,3.422209276726335,-3.5825934556100574,0.03260040004969644,0
2022-03-21,1122.69677734375,1130.2499690830257,1109.7744623583417,1112.0495186610842,11999466,1077.111260986328,1091.3167626953125,1085.3819036372367,64.13441066918017,6.180695483644513,-1.6299356677591432,-0.005762108026499124,1
2022-03-22,1151.7037353515625,1153.4327442921551,1116.417558596963,1119.3750232146149,22557065,1079.5398864746094,1092.3601049804688,1091.6982685624107,63.46731880274217,10.58541271779427,0.8131340093515396,0.0258368587076927,1
2022-03-23,1155.366455078125,1167.0375661035232,1147.9953600851836,1147.9953600851836,15462187,1082.7090454101562,1093.299248046875,1097.761905373431,61.601938395870754,14.207953290055912,3.492097865492414,0.0031802620883611965,1
2022-03-24,1173.3167724609375,1175.8194185614975,1142.0802732954487,1142.0802732954487,13168266,1087.0237060546874,1094.5791967773437,1104.9576070008127,66.01904448933766,18.31614625566999,6.4569075435279295,0.015536470964615967,1
2022-03-25,1181.14306640625,1190.3115323247282,1172.566021240517,1175.0686673806458,14222488,1092.0697937011719,1095.8559619140624,1112.2133650394258,72.91463398547432,21.950404691538324,9.555606973130008,0.0066702310313841995,1
2022-03-28,1193.018798828125,1196.5678044575318,1176.8885634283015,1187.5813149251485,9891424,1100.4010681152345,1096.7737231445312,1119.9091206383493,86.08231412113595,25.494962979031925,12.743478174310393,0.010054440278778554,1
2022-03-29,1193.291748046875,1200.321638726132,1186.3983390664755,1200.321638726132,8684065,1108.1044189453125,1097.5677172851563,1126.897942296304,86.7604435879737,28.003271398603374,15.795436819168991,0.0002287886989023047,1
2022-03-30,1216.2244873046875,1223.0724028520565,1190.8120505919685,1201.1863453712592,15811550,1115.2344665527344,1098.7866967773436,1135.4052322971024,84.79004510846815,31.478737008308144,18.93209685699682,0.019218048976998192,0
2022-03-31,1198.8428955078125,1214.7456618708436,1196.0446595036312,1212.584340487485,13223718,1120.6081604003907,1099.5374658203125,1141.4469145076462,76.45649780219202,32.4563823767503,21.63695396094752,-0.01429143384162157,1
2022-04-01,1208.443603515625,1212.6752582349072,1193.0415116671982,1199.4116203413212,7922880,1126.9225830078126,1100.7573510742188,1147.8275515560251,77.16405020829276,33.618338989380845,24.033230966634186,0.00800831205138497,1
2022-04-04,1212.015625,1217.1572786813151,1201.9826544660282,1208.2617761125623,7929162,1134.6157104492188,1102.0504956054688,1153.9407014078324,76.57662484697627,34.430536465387604,26.112692066384874,0.00295588596272367,0
2022-04-05,1194.8843994140625,1214.836726034793,1192.450114468768,1206.282427766636,13149870,1143.4088165283204,1103.4027905273438,1157.8401012179497,79.64550095009186,33.30790923927384,27.55173550096267,-0.014134492355193484,0
