Date,Close,High,Low,Open,Volume,SMA_20,SMA_50,EMA_20,RSI,MACD,MACD_signal,Daily_Return,Target
12-03-2014,837.418457,841.3760845,827.2554903,827.2554903,1669788,842.0830963,850.4995032,844.1114078,47.4139627,-0.413151144,1.050955468,0.012920168,0
13-03-2014,825.9298096,846.0828543,821.0500589,825.3534589,2019884,842.9303345,850.500116,842.379827,44.74934302,-1.808122856,0.479139803,-0.013719124,0
14-03-2014,822.0878296,830.1375127,816.2282614,822.6449501,2161246,843.0417633,850.3188049,840.4472558,41.12453377,-3.186926757,-0.254073509,-0.004651703,0
18-03-2014,815.3441772,826.794364,808.5240268,820.5313339,2565842,842.1599365,849.5791711,838.0564865,42.28764917,-4.768823142,-1.157023435,-0.00820308,0
19-03-2014,783.6065063,797.2852217,773.481954,797.2852217,8652662,839.7392548,848.0713049,832.8707741,32.77650914,-8.485635103,-2.622745769,-0.038925489,1
20-03-2014,810.0419922,815.6902125,772.8481741,783.0687877,5728956,838.6288208,847.3487537,830.6966044,42.54616149,-9.192151187,-3.936626852,0.033735664,1
21-03-2014,817.2655029,824.1817131,801.1276792,816.4970351,4680776,837.265744,846.5673828,829.4174518,32.34434468,-9.064701095,-4.962241701,0.008917452,1
24-03-2014,827.1018677,829.1574626,816.9388067,821.0885513,2183014,836.5597168,845.911405,829.19692,39.36534,-8.076878323,-5.585169025,0.012035703,0
25-03-2014,824.8155518,834.5559173,818.4180957,823.7973696,2249968,835.4252655,844.9109106,828.7796469,38.71548807,-7.393283082,-5.946791837,-0.002764249,0
26-03-2014,804.3937988,829.3690063,802.1076255,825.3537802,3192350,833.8038239,842.8280859,826.4571851,32.72255237,-8.402534531,-6.437940376,-0.024759175,1
27-03-2014,804.6818237,812.6546769,793.4622129,807.256172,5012476,831.985437,841.073197,824.3833412,33.64955444,-9.074526875,-6.965257675,0.000358065,1
28-03-2014,807.6983032,815.6711585,799.225925,805.7386724,2971162,830.4475525,839.1726831,822.79429,35.75302345,-9.256972349,-7.42360061,0.003748661,1
31-03-2014,819.628418,824.1623963,799.9748936,808.4280385,2683268,827.7079681,837.5360803,822.4927783,48.77827359,-8.342731333,-7.607426755,0.014770509,1
01-04-2014,836.3618164,839.5509762,824.143161,824.1816219,2755932,826.490921,837.286991,823.8136391,52.95851605,-6.196513779,-7.32524416,0.020415835,0
02-04-2014,834.6519775,846.0829345,830.3485772,841.4721284,3763016,825.1768402,836.0436804,824.8458618,49.0999996,-4.580786161,-6.77635256,-0.002044377,0
03-04-2014,832.442749,838.3983745,825.1807658,834.8826718,1581194,823.5361633,835.2003345,825.5693749,52.25495715,-3.438934762,-6.108869,-0.002646886,0
04-04-2014,821.8186035,840.3194258,818.4180964,834.5559181,1694656,821.5784943,834.1924536,825.2121586,49.91096785,-3.352641885,-5.557623577,-0.012762614,1
07-04-2014,827.5628052,832.2312085,814.8446284,818.4564826,2594986,820.1433777,833.4651379,825.4360297,54.06754659,-2.788599848,-5.003818831,0.006989622,0
09-04-2014,822.4143066,830.7137975,808.8124624,826.871458,3350500,820.1001587,832.6636328,825.1482465,65.69801346,-2.725614091,-4.548177883,-0.006221278,0
10-04-2014,816.9387207,825.5839819,812.731379,822.4140528,2152886,819.6102509,831.8686511,824.3663869,53.3594248,-3.082004025,-4.254943112,-0.006657941,1
