Date,Close,High,Low,Open,Volume
2014-01-01,38.01219940185547,38.174855697777645,37.09990622195238,37.31206660793782,7564701
2014-01-02,36.11688995361328,38.012196286761174,35.82693744986141,37.34035159936583,17188171
2014-01-03,35.12680435180664,36.21589775290463,34.58225589117496,35.78450148769453,11525782
2014-01-06,35.6501350402832,36.05324327681758,34.61054567264013,35.06315799714963,10660990
2014-01-07,34.22159194946289,36.053250617828034,34.08722368331378,35.834018183584746,11002957
2014-01-08,33.96699142456055,34.49739234990567,33.56388320113283,34.31352002911936,11164732
2014-01-09,34.73076248168945,35.17630269864183,33.945769254016085,34.09428148627862,10507045
2014-01-10,34.080135345458984,34.97121220380234,33.70531878257426,34.73783585332694,5704881
2014-01-13,33.281002044677734,34.54689574811767,32.93447344702157,33.82555050401707,7177827
2014-01-14,34.54689407348633,34.79441800855043,32.708167471214864,32.8283916727372,11475891
2014-01-15,35.239952087402344,35.62891270993872,34.32058709578782,34.79441537431523,8902244
2014-01-16,35.16923522949219,35.77743177937252,34.95000285831581,35.41675564856228,6186316
2014-01-17,33.924556732177734,35.317746575387574,33.67703279928891,35.31067456359547,8975739
2014-01-20,34.893428802490234,35.310677533316145,33.66289160684225,34.09428788260737,8891975
2014-01-21,34.935855865478516,35.43089666154955,34.39837948100787,35.268240399983355,5481746
2014-01-22,34.787349700927734,34.999510079146674,34.25694523521483,34.96415001611018,4602079
2014-01-23,36.3997688293457,36.590713152609,34.228654113391826,34.511534592300414,23046789
2014-01-24,35.3318977355957,37.12819613395163,35.11973733897867,36.491711423934674,15586221
2014-01-27,33.528526306152344,34.83685223240477,33.42244611106424,34.82271172655878,8768504
2014-01-28,33.93162536621094,34.48324580847535,33.38000844411169,34.08721314645538,7477243
2014-01-29,35.989593505859375,36.35026613020672,34.08721517240244,34.08721517240244,13952648
2014-01-30,33.95284652709961,35.67842101336389,33.549738314034116,34.80149150600213,11247296
2014-01-31,33.78312301635742,34.794424417971136,32.42528944988594,34.07307555579353,20725876
2014-02-03,33.23857498168945,34.38424465047103,32.95569445116706,33.73361943026953,10780834
2014-02-04,32.715240478515625,32.941544864737686,31.901955570364812,32.920328828529364,12381675
2014-02-05,32.580867767333984,33.45072513221643,32.248479725628734,32.53136016949294,10903926
2014-02-06,32.00804138183594,33.30222333836392,31.753448902551593,32.72231472649479,11967824
2014-02-07,31.923171997070312,32.57380063558278,31.626147486520537,32.38992479936282,12557927
2014-02-10,31.357404708862305,32.34748984259242,31.201820455302073,31.682720759198713,9864044
2014-02-11,31.251327514648438,31.795875974176987,30.77750269728046,31.357407697641268,10139020
2014-02-12,31.11695671081543,31.675649148563043,30.926012397211267,31.52713338448363,16561644
2014-02-13,30.798717498779297,31.520062714202933,30.62191720088135,31.28668632097764,14370472
2014-02-14,30.43804168701172,31.00380616632603,29.716696464096668,30.565341422985508,8812757
2014-02-17,31.13817024230957,31.314970518469952,30.14101316460025,30.28245338552855,9081862
2014-02-18,32.21312713623047,32.672807964050726,31.15232170571042,31.15232170571042,21739557
2014-02-19,34.51860809326172,34.65297632653938,32.35456529593279,32.65866534404237,39225103
2014-02-20,34.6812629699707,35.749143820962324,33.81847750705245,34.370094442360845,32912810
2014-02-21,35.30360412597656,35.44504436812542,34.33473494709155,34.858067363207645,19831987
2014-02-24,35.31067657470703,36.02495332655626,35.034868099106326,35.48040486738439,13804431
2014-02-25,35.26824188232422,35.9117984644305,34.8509931938129,35.46625820907535,12963544
2014-02-26,35.119728088378906,35.44504061083712,34.454955500581974,35.331888429112524,11502830
2014-02-28,35.9613037109375,36.27954424638135,35.08437071532701,35.254099000897064,11098296
