Date,Close,High,Low,Open,Volume
2014-01-01,309.47857666015625,312.24496532118997,308.94761287126664,311.62029691385976,1478688
2014-01-02,310.5985107421875,313.0480988343917,309.05468309241934,309.05468309241934,4404744
2014-01-03,318.1479797363281,319.02698588063674,308.25145901487815,310.1031541077518,10046344
2014-01-06,313.9315185546875,319.5178468370259,309.5320862286895,319.03596856024745,11098328
2014-01-07,308.51019287109375,314.6453262494608,307.577656954921,314.0340569412334,7713688
2014-01-08,305.91790771484375,310.10317640254624,305.2843068987369,308.85383986452155,8990392
2014-01-09,307.9435729980469,310.7278039894932,305.0031749597936,306.9797948661277,12590808
2014-01-10,316.9075622558594,319.026972211108,307.69370634514695,311.44171552916555,30258176
2014-01-13,327.0584411621094,327.9508243576404,319.65166063920213,319.65166063920213,17119912
2014-01-14,328.99945068359375,329.73566699013463,324.8677111756052,325.27374998079586,7425832
2014-01-15,331.25714111328125,332.3547769093408,328.4862866606373,329.7623991133992,17130144
2014-01-16,332.4171447753906,333.52369101733973,329.6150489906243,330.09248262610515,17608232
2014-01-17,332.8366394042969,335.95104820157064,331.9665657440805,332.7697106612033,25667896
2014-01-20,334.58123779296875,335.53161718702654,330.5788904231833,331.25264409704596,9761944
2014-01-21,335.38885498046875,336.42847271329816,331.8193221134842,334.6437062798059,12102464
2014-01-22,336.06256103515625,337.14235335905846,333.7557636692895,333.8583790166439,6769760
2014-01-23,338.4363098144531,339.0163588622564,335.6119258579056,337.6867166827404,7907344
2014-01-24,335.3710021972656,338.8334535626771,335.0631343335272,335.98229343785533,6876584
2014-01-27,333.05523681640625,335.88408706096567,331.1812321905425,331.96653372443456,8099048
2014-01-28,327.959716796875,330.958110895155,327.2235007505965,330.80641012780666,14108544
2014-01-29,331.77020263671875,334.0814662162557,326.0455518166713,327.1476536909475,8102080
2014-01-30,330.5610656738281,331.6720784637214,326.61226978908303,330.51198023769456,7183632
2014-01-31,330.2799987792969,333.7290515911885,328.98157669332437,330.18182789956484,5369928
2014-02-03,323.8592834472656,329.4679213209447,323.4711097755854,328.8432529977468,4384112
2014-02-04,317.7865905761719,320.5395796805661,316.4881686607504,319.5624244323393,4535112
2014-02-05,319.5847473144531,320.27634432434826,316.1490718459417,319.4731994096313,4326992
2014-02-06,318.0186767578125,319.7409811251213,315.9929707407353,318.7593593577821,5749904
2014-02-07,318.2729187011719,321.42303559761433,316.69340487318226,320.09783789693853,7551456
2014-02-10,318.9198913574219,320.0085944323396,317.46530247993536,319.46423200153185,6049424
2014-02-11,320.9233093261719,323.22119607351954,318.8931375396803,319.8301399026764,5833592
2014-02-12,321.26678466796875,323.7074388891736,320.6510273793822,321.3024712701945,4208712
2014-02-13,319.9908142089844,322.85981785883314,319.4776938016424,321.68634251150576,3588320
2014-02-14,325.21112060546875,326.9691106476275,321.54788426339076,322.6455196417353,5962168
2014-02-17,326.4471740722656,328.8432318439363,325.61727506847865,328.8432318439363,13569920
2014-02-18,328.5755310058594,329.6999426783548,325.452189456374,325.452189456374,4978240
2014-02-19,334.9471435546875,335.71460191755835,329.74456627597,329.7936299287601,7064304
2014-02-20,331.1856994628906,334.1885600744293,330.71719830501115,334.1885600744293,8816848
2014-02-21,334.70611572265625,335.1255314107421,332.61348176824674,333.3943169591978,5517984
2014-02-24,334.6347961425781,334.9739061449909,332.85896213701017,334.28677537942093,4357608
2014-02-25,337.5796203613281,338.40063030634934,335.0898800339444,335.0898800339444,8099512
2014-02-26,339.7748718261719,340.69403079409824,336.61584430640653,337.3208182542166,7352168
2014-02-28,341.3231506347656,342.4207643924139,335.63420850699447,335.63420850699447,9839496
2014-03-03,338.9494323730469,343.56304893420565,338.3872266271862,341.3365573163705,7204176
2014-03-04,339.0654296875,341.2874549217681,335.7055941987007,336.42843323412126,6937912
2014-03-05,341.0421142578125,343.06781994902764,339.989097628536,341.5953875348795,4943504
2014-03-06,341.9523010253906,343.56305701790046,340.6539009316623,342.4966634782716,6226312
2014-03-07,333.778076171875,342.1397019856505,330.9224500728816,341.5150337764957,15072744
2014-03-10,327.6474304199219,332.8321638347402,325.30045820365183,332.8321638347402,7432472
2014-03-11,327.9820556640625,330.97598375694025,324.02879388093817,325.987570573169,4124272
2014-03-12,327.6206359863281,330.4807283897847,325.8983321191583,327.8080233791093,3940104
