Date,Close,High,Low,Open,Volume
2014-01-01,152.2901153564453,153.1399827960468,151.96224370499866,152.88976079928344,5904780
2014-01-02,150.35308837890625,155.82330732741815,149.45577283091762,152.363434885682,19451900
2014-01-03,148.3729248046875,149.78362573904127,147.6266035548121,149.00708985346762,13759590
2014-01-06,145.65512084960938,148.7482841116569,145.12448851163884,148.56710157263817,13907830
2014-01-07,143.3470916748047,146.85009422909195,142.7948944223863,146.06493485232522,17352910
2014-01-08,142.98037719726562,144.77502133296477,142.44975813666906,143.59297732401777,14248790
2014-01-09,141.48341369628906,143.46355873732583,140.63786457717345,142.62232787607036,14791100
2014-01-10,138.75265502929688,142.88119995584682,138.04946346828763,141.4618752232451,20473070
2014-01-13,141.6085205078125,141.94069721773892,138.9251841165846,138.9251841165846,15564850
2014-01-14,140.42218017578125,142.2772144633939,140.06412019423234,141.0692869968678,10197000
2014-01-15,141.5610809326172,143.05373683721095,140.81042813961488,140.81042813961488,13624980
2014-01-16,141.17279052734375,142.5144652368328,140.84923718406296,141.85872203524875,7241970
2014-01-17,139.9088134765625,141.88895885083522,139.51623374240847,141.0304679790851,11207380
2014-01-20,141.66030883789062,142.0097454673469,139.48602623705665,139.90880743220885,9468650
2014-01-21,143.1831512451172,144.32206544712963,142.03561369263636,142.69998031047695,12351890
2014-01-22,142.09170532226562,143.04942388784107,141.09084367140062,142.70861062910092,9821920
2014-01-23,143.07965087890625,143.48517225518518,141.1685316651085,141.4144222808075,9241310
2014-01-24,139.8785858154297,143.64906996174676,139.60249379141928,142.2771936955717,16616560
2014-01-27,137.5749053955078,138.39457138974964,136.58698531099128,137.86825732348123,15688040
2014-01-28,137.730224609375,140.4653279512603,136.17284729530064,138.31261023545088,18296910
2014-01-29,135.77597045898438,139.93038557445817,135.46104037079928,139.17112245353002,17594550
2014-01-30,130.85360717773438,134.42563566756664,130.28846837450078,134.16679035213133,20955320
2014-01-31,131.47915649414062,132.7863117195272,130.54301601798224,132.05293190313472,13174950
2014-02-03,128.4161834716797,131.92349100220275,128.12713666352576,131.5783726679305,14150230
2014-02-04,130.7500762939453,131.31953342076557,126.5568238276326,127.17804739045087,18002040
2014-02-05,131.2936553955078,132.00116515658593,129.51627080703386,131.05206990768156,13227190
2014-02-06,129.8397979736328,132.69137507159812,128.85619635326086,131.32814859379653,16116300
2014-02-07,131.80270385742188,132.4153040669645,129.7233440823177,131.151291986455,18203400
